     ,Grid Re,Rossby Number,Shaft Speed Standard Deviation * M / u_inf,Turbulence Intensity,L_ux / M,Anisotropy,Re_lambda,Epsilon
99,38278,15,0.0110787,0.119559,2.12573,1.13903,542.385,5.64304
100,38585.7,15,0.0160726,0.122096,2.43916,1.16349,571.945,5.6991
101,38952.4,20,0.000881017,0.126825,2.48242,1.14758,605.564,6.14683
102,39064.4,20,0.00583569,0.127189,2.41835,1.14966,618.549,6.02815
103,38996.9,20,0.0108744,0.128271,2.49128,1.1519,626.45,6.03775
104,37538.7,20,0.0165209,0.127136,2.66731,1.17319,582.948,5.77754
105,37764.3,25,0.000908735,0.131609,2.37427,1.16157,609.954,6.20707
106,37871.6,25,0.0060195,0.131477,2.45861,1.1656,618.705,6.07706
107,38017.8,25,0.0111545,0.130982,2.18554,1.12977,612.866,6.19546
108,37889.1,25,0.016368,0.130549,2.28503,1.1543,611.634,6.05584
109,40200.1,30,0.000853672,0.134704,2.59879,1.14239,705.359,6.54068
110,39822.3,30,0.00572463,0.134005,2.57416,1.15439,696.231,6.33129
111,39780.1,30,0.0106603,0.132917,2.60852,1.16483,678.124,6.43248
112,39755.9,30,0.0155995,0.133166,2.84653,1.19776,683.05,6.37204
113,40199.6,40,0.000853685,0.135619,2.6387,1.18224,715.67,6.52757
114,40109.5,40,0.00568364,0.138554,2.73027,1.15669,736.796,6.64937
115,39637.3,40,0.0106987,0.13624,3.11009,1.19767,707.32,6.43297
116,39409.9,40,0.0157364,0.135128,3.3497,1.22094,693.232,6.33375
117,39810.5,70,0.000862027,0.134711,3.13474,1.2591,703.521,6.32495
118,39703.1,70,0.00574182,0.138587,3.49828,1.27893,734.328,6.43305
119,39123.3,70,0.0108393,0.137954,4.47324,1.30798,718.439,6.22168
120,39727.3,70,0.0156107,0.136389,4.00488,1.30466,710.828,6.45585
