,Trial Name,Grid Re,Rossby Number,Shaft Speed Standard Deviation * M / u_inf,Shaft Speed Standard Deviation * M^2 / nu,Turbulence Intensity,Turbulence Intensity Uncertainty,L_ux / M,L_ux Uncertainty,Anisotropy,Re_lambda,Epsilon
20,fs_12_Ro_70_Std_0.14,48074.23914351411,70.0,0.0007138489606458585,34.317745646438,0.13946475399280348,0.008586568077170611,3.536021324689977,0.21263154421256875,1.3381000860043248,856.0674556493153,10.435195593016783
21,fs_12_Ro_70_Std_0.93,47587.03368943883,70.0,0.004790546166040793,227.96788179419522,0.13985535961411663,0.008768404554208587,3.816033782582494,0.39264584616128445,1.3193247995710224,846.5542893858545,10.360253790257683
22,fs_12_Ro_70_Std_1.73,47963.318722512646,70.0,0.008841533421436919,424.06928548812664,0.13925955289289546,0.008504703721456343,4.436156433193817,1.2288915317890046,1.346330358424321,838.5619318498635,10.712125007962074
23,fs_12_Ro_70_Std_2.53,47988.96576710177,70.0,0.012923193473096438,620.170689182058,0.13975363718320685,0.008699120970971919,4.335578394590063,1.439469536712016,1.3271506612956312,848.1985316283161,10.64221519475588
24,fs_3_Ro_15_Std_0.14,11797.425692627572,15.0,0.0029089181437170473,34.317745646438,0.10007340554243606,0.005733608142706504,1.9174953244766002,0.35635425630239764,1.0964179064454167,191.50292943944697,0.20048500946537678
25,fs_3_Ro_15_Std_0.93,11778.579717385559,15.0,0.019354445719606362,227.96788179419525,0.10499376446532899,0.006597309302150269,1.6217730913180934,0.3511894396783618,1.0434849197556435,215.82536376578216,0.19003333842329723
26,fs_3_Ro_15_Std_1.73,11831.984222295647,15.0,0.03584092722918189,424.0692854881266,0.10224102785234439,0.005691373140236198,2.151928151992399,0.39245478083211083,1.1466418547436492,213.7834766976179,0.17733396048454705
27,fs_3_Ro_15_Std_2.53,11772.883646506207,15.0,0.052677891653681946,620.170689182058,0.10074788197560643,0.00514946456148654,2.826741549876803,1.3786031253479158,1.230055453195886,210.44788846251413,0.169120008062148
28,fs_3_Ro_20_Std_0.14,12114.209096552338,20.0,0.0028328506940007094,34.317745646438,0.11197023495911414,0.007228836866148713,1.952073796288387,0.9155976093983834,1.0719849295747086,233.77740334738425,0.23441996073995913
29,fs_3_Ro_20_Std_0.93,11952.38685676397,20.0,0.019073000608676425,227.96788179419528,0.10969901007731128,0.00684290424338455,1.6688155661838122,0.23410543562419536,1.0889895385228547,229.16818815830214,0.21297555886396047
30,fs_3_Ro_20_Std_2.53,11922.251207843878,20.0,0.05201791829164243,620.170689182058,0.10569389344340512,0.0054849530227946905,2.501050832087928,0.5859143715477355,1.2585705774670013,224.65568780671535,0.18906313343232486
31,fs_3_Ro_25_Std_0.14,12187.06867753314,25.0,0.0028159146842015224,34.317745646438,0.1188467148627516,0.007880936699944585,1.9870764768632811,0.3973105347231005,1.0977357767945388,255.53765807702098,0.2550615351369513
32,fs_3_Ro_25_Std_0.93,12080.615331809144,25.0,0.018870552164171567,227.96788179419525,0.11461096705225242,0.0068184812221398815,2.234569818531807,0.5420084273717897,1.1796546384529634,247.71910817038008,0.22664750642938813
33,fs_3_Ro_25_Std_1.73,12106.841855853982,25.0,0.0350272424912429,424.06928548812664,0.11389474865131342,0.006827687991979926,2.65118685515954,0.3630830431225345,1.1653813941435591,250.68501264017175,0.21771611170791355
34,fs_3_Ro_25_Std_2.53,11976.251972898608,25.0,0.05178337017169139,620.170689182058,0.11184528751126223,0.00656539902292135,2.6132283969011993,0.7564352695735991,1.171408160863726,246.71687268251682,0.2001546972861395
35,fs_3_Ro_30_Std_0.14,12339.947458557908,30.0,0.002781028506133404,34.31774564643799,0.12233199428806947,0.008482211189584582,1.962413725421086,0.38074550450108086,1.0784000814490036,280.9796478342075,0.2489274368002486
36,fs_3_Ro_30_Std_0.93,12218.713712705492,30.0,0.01865727335579893,227.9678817941952,0.12065995573956291,0.007853753457710692,2.166007121942851,0.5180101780538963,1.1308548424160778,271.735456899254,0.2421424950359725
37,fs_3_Ro_30_Std_1.73,12114.137792521291,30.0,0.035006146764314294,424.0692854881267,0.11226322916993131,0.006477847307484842,2.7372721863558076,0.437644348496861,1.1940068834190418,245.03913280859373,0.21560473473797975
38,fs_3_Ro_30_Std_2.53,12005.520714648565,30.0,0.05165712541109153,620.170689182058,0.10438724223726838,0.005699709637771841,2.2961933517674593,0.24016282599396083,1.187411452425555,219.68628864575462,0.1934268808263418
39,fs_3_Ro_40_Std_0.14,12182.827236546542,40.0,0.0028168950425144523,34.317745646438,0.12461380042360203,0.008522939422323444,1.8739430950964218,0.3748185363302322,1.1090015056157212,281.60919923045975,0.25349667149114274
40,fs_3_Ro_40_Std_1.73,12059.682445958382,40.0,0.03516421658600529,424.0692854881266,0.11776083843532273,0.007079126107697296,2.3410961461692974,0.41641103720473704,1.1939588125567058,253.141379609801,0.2402314094758035
41,fs_3_Ro_40_Std_2.53,11989.37550917093,40.0,0.05172668824224216,620.170689182058,0.1069903431449056,0.006188011378348086,2.200052828004502,0.6387876556399837,1.146436038709889,226.47085257123103,0.19977860283053833
42,fs_3_Ro_70_Std_0.14,12528.512239293697,70.0,0.002739171658292021,34.317745646438,0.12894879420054212,0.007598488157704943,3.2165520438109545,0.7690168690410187,1.3077553078903554,306.0996046785881,0.27513804063861547
43,fs_3_Ro_70_Std_0.93,12244.93888837656,70.0,0.018617314783873073,227.96788179419525,0.1238069006528332,0.007072697350394816,3.6127798731946426,0.590749861184882,1.302714608431698,279.04696218294873,0.2567203679755114
44,fs_3_Ro_70_Std_1.73,12182.700928232245,70.0,0.034809135345790734,424.06928548812664,0.11809383844643742,0.007134469751404052,2.2452539908665328,0.39849477857065907,1.1911519776629125,254.7415841837865,0.24985763569861066
45,fs_3_Ro_70_Std_2.53,12021.370114568606,70.0,0.051589018828268,620.1706891820581,0.10996155642277217,0.006424443186017679,2.2883115761891046,0.7901436813933567,1.1607214753882984,238.69211008412935,0.20282070557323648
46,fs_5.25_Ro_15_Std_0.14,20390.029413699438,15.0,0.0016830650388067099,34.317745646438,0.10831450732605852,0.006473354770105745,1.9731722446364601,0.19296917603068006,1.122409464627732,296.123787705219,1.0267870005099025
47,fs_5.25_Ro_15_Std_0.93,20824.588845717088,15.0,0.01094705319193279,227.96788179419525,0.10803613777244907,0.006524326863865843,1.9420002687697977,0.3687125808176887,1.1090824785831979,307.70249655156886,1.0240683222664106
48,fs_5.25_Ro_15_Std_1.73,20740.134273448974,15.0,0.020446795565398534,424.06928548812664,0.11232639906820069,0.007068956050503873,1.879511793636306,0.24458517777018438,1.1009524212215989,331.2867304683925,1.0157212755165717
49,fs_5.25_Ro_15_Std_2.53,20908.098405804638,15.0,0.029661745279038972,620.170689182058,0.11037255823136026,0.006618815431545995,2.022855858062414,0.06926638225107823,1.1359139362213695,327.66967380649527,0.9996296037348785
50,fs_5.25_Ro_20_Std_0.14,20978.28536829617,20.0,0.001635869902804418,34.317745646438,0.11887615352666793,0.007690936803785255,2.146135658798232,0.6912148527819231,1.1235027215843831,353.2039111905017,1.173321296784876
51,fs_5.25_Ro_20_Std_0.93,20979.461517778593,20.0,0.01086624085184497,227.96788179419522,0.11843148498719237,0.007820244285209584,1.9457498281485888,0.12689254726057378,1.098921381643801,353.21225104777454,1.1560684778751622
52,fs_5.25_Ro_20_Std_1.73,20991.599518460927,20.0,0.020201856705354043,424.0692854881266,0.11716137388860523,0.007268423623126827,2.1220143672193195,0.25628985029790374,1.1546484575327558,353.6581625660625,1.1070356562634627
53,fs_5.25_Ro_20_Std_2.53,21207.553168928986,20.0,0.029242915683958537,620.170689182058,0.1133607396011915,0.006466674453065353,2.579719712636717,0.43367770974977504,1.2163032542030199,341.1202888944204,1.0864428066967877
54,fs_5.25_Ro_25_Std_0.14,21330.486282764552,25.0,0.001608859038256779,34.317745646438,0.12284995085012079,0.008350594901195245,2.0266980117439912,0.41508096840152836,1.1023425980366162,379.4720740926941,1.2392312638053642
55,fs_5.25_Ro_25_Std_0.93,21345.311478693355,25.0,0.010679997901260433,227.96788179419525,0.12102415814895758,0.007804761208729991,2.1469853232501417,0.15868889914645207,1.1434497892765607,371.42405481107784,1.2217075101093815
56,fs_5.25_Ro_25_Std_2.53,21046.87990057241,25.0,0.02946615802968455,620.170689182058,0.11804373333497717,0.006896157706516212,3.498246264142397,2.202577294635324,1.228518601923657,359.0305852905785,1.118584436198212
